"Year","AphiaID","Species.Latin.Name","Area","Country","AMS.Catch.TLW.","BMS.Catch.TLW."
2020,107649,"Pandalus borealis","27_1_A","LV",1998.61,NA
2020,107649,"Pandalus borealis","27_2_B","LV",185.346,NA
2020,126281,"Anguilla anguilla","27_3_D_28_1","LV",0.212,NA
2020,126281,"Anguilla anguilla","27_3_D_28_2","LV",0.044,NA
2020,126417,"Clupea harengus","27_3_D_25","LV",22.585,NA
2020,126417,"Clupea harengus","27_3_D_26","LV",951.945,NA
2020,126417,"Clupea harengus","27_3_D_28_1","LV",22257.6,NA
2020,126417,"Clupea harengus","27_3_D_28_2","LV",4980.84,NA
2020,126425,"Sprattus sprattus","27_3_D_25","LV",422.548,NA
2020,126425,"Sprattus sprattus","27_3_D_26","LV",2950.11,NA
2020,126425,"Sprattus sprattus","27_3_D_28_1","LV",1864.15,NA
2020,126425,"Sprattus sprattus","27_3_D_28_2","LV",23656.6,NA
2020,126436,"Gadus morhua","27_1_A","LV",510.597,NA
2020,126436,"Gadus morhua","27_2_B","LV",709.435,NA
2020,126436,"Gadus morhua","27_3_D_25","LV",28.304,0.209
2020,126436,"Gadus morhua","27_3_D_26","LV",25.704,2.095
2020,126436,"Gadus morhua","27_3_D_28_1","LV",0.056,NA
2020,126436,"Gadus morhua","27_3_D_28_2","LV",11.348,0.085
2020,127141,"Platichthys flesus","27_3_D_25","LV",90.102,NA
2020,127141,"Platichthys flesus","27_3_D_26","LV",225.445,NA
2020,127141,"Platichthys flesus","27_3_D_28_1","LV",26.118,NA
2020,127141,"Platichthys flesus","27_3_D_28_2","LV",513.718,NA
2020,127144,"Reinhardtius hippoglossoides","27_1_A","LV",142.43,NA
2020,127144,"Reinhardtius hippoglossoides","27_2_B","LV",6.279,NA
2020,127149,"Scophthalmus maximus","27_3_D_26","LV",0.078,NA
2020,127149,"Scophthalmus maximus","27_3_D_28_2","LV",1.96,NA
2020,127186,"Salmo salar","27_3_D_26","LV",4.812,NA
2020,127186,"Salmo salar","27_3_D_28_1","LV",2.203,NA
2020,127186,"Salmo salar","27_3_D_28_2","LV",3.197,0.021
2020,127187,"Salmo trutta","27_3_D_28_1","LV",2.661,NA
2020,127187,"Salmo trutta","27_3_D_28_2","LV",2.926,NA
2020,127254,"Sebastes mentella","27_2_B","LV",1.554,NA
2020,10193,"Elasmobranchii","27_7_A","IE",0.29,NA
2020,10193,"Elasmobranchii","27_7_G","IE",11.896,NA
2020,10193,"Elasmobranchii","27_7_H","IE",0.245,NA
2020,105711,"Rajidae","27_7_A","IE",0.85681,NA
2020,105711,"Rajidae","27_7_G","IE",4.63187,NA
2020,105711,"Rajidae","27_7_J_2","IE",0.2938,NA
2020,105814,"Scyliorhinus canicula","27_6_A","IE",53.452,NA
2020,105814,"Scyliorhinus canicula","27_7_A","IE",58.104,NA
2020,105814,"Scyliorhinus canicula","27_7_B","IE",3.923,NA
2020,105814,"Scyliorhinus canicula","27_7_G","IE",96.4636,NA
2020,105814,"Scyliorhinus canicula","27_7_J_2","IE",12.367,NA
2020,105869,"Dipturus batis","27_7_G","IE",0.001,NA
2020,105874,"Leucoraja fullonica","27_6_A","IE",0.12995,NA
2020,105874,"Leucoraja fullonica","27_6_B_1","IE",14.0086,NA
2020,105874,"Leucoraja fullonica","27_6_B_2","IE",5.93115,NA
2020,105874,"Leucoraja fullonica","27_7_C_2","IE",0.089,NA
2020,105874,"Leucoraja fullonica","27_7_G","IE",0.0791,NA
2020,105874,"Leucoraja fullonica","27_7_H","IE",2.15,NA
2020,105874,"Leucoraja fullonica","27_7_J_2","IE",0.729,NA
2020,105876,"Leucoraja naevus","27_6_A","IE",0.054466,NA
2020,105876,"Leucoraja naevus","27_6_B_1","IE",0.09,NA
2020,105876,"Leucoraja naevus","27_7_A","IE",10.4301,NA
2020,105876,"Leucoraja naevus","27_7_B","IE",1.89908,NA
2020,105876,"Leucoraja naevus","27_7_C_2","IE",0.760789,NA
2020,105876,"Leucoraja naevus","27_7_G","IE",23.1333,NA
2020,105876,"Leucoraja naevus","27_7_H","IE",21.3589,NA
2020,105876,"Leucoraja naevus","27_7_J_2","IE",15.6814,NA
2020,105883,"Raja clavata","27_6_A","IE",57.8667,NA
2020,105883,"Raja clavata","27_6_B_1","IE",2.25399,NA
2020,105883,"Raja clavata","27_6_B_2","IE",10.325,NA
2020,105883,"Raja clavata","27_7_A","IE",68.7544,NA
2020,105883,"Raja clavata","27_7_B","IE",11.4395,NA
2020,105883,"Raja clavata","27_7_C_2","IE",0.44635,NA
2020,105883,"Raja clavata","27_7_E","IE",0.565791,NA
2020,105883,"Raja clavata","27_7_F","IE",0.16385,NA
2020,105883,"Raja clavata","27_7_G","IE",122.711,NA
2020,105883,"Raja clavata","27_7_H","IE",0.582641,NA
2020,105883,"Raja clavata","27_7_J_2","IE",25.9904,NA
2020,105883,"Raja clavata","27_7_K_2","IE",0.08249,NA
2020,105887,"Raja montagui","27_6_A","IE",0.69156,NA
2020,105887,"Raja montagui","27_6_B_2","IE",0.40793,NA
